idx序号	招式名称	忽略动作位移	重力事件	忽略角色碰撞	重力事件	清除XZ轴速度
Idx	Name	IgnoreMove	IgnoreGravity	IgnoreCollision	GravityEvent	IgnoreXZVelocity
100	被挑起	0	1	1		
118	挑起到顶	1	0	1		
151	跳跃起身	0	1	1		
152	跳跃到顶	0	0	1		
153	右跳	0	1	1		
154	右跳到顶	0	0	0		
155	左跳	0	1	0		
156	左跳到顶	0	0	0		
157	后跳	0	1	0		
158	后跳到顶	1	0	0		
159	右蹬腿	0	1	0		
160	左蹬腿	0	1	0		
161	前爬墙	0	0	1		
162	右爬墙	0	0	1		
163	左爬墙	0	0	1		
164	前闪	0	0	0		
165	剑前闪	0	0	0		
166	匕首前闪	0	0	0		
167	锤子右闪	0	0	0		
168	剑右闪	0	0	0		
169	枪右闪	0	0	0		
170	锤子左闪	0	0	0		
171	剑左闪	0	0	0		
172	枪左闪	0	0	0		
173	锤后闪	0	0	0		
174	剑后闪	0	0	0		
175	枪后闪	0	0	0		
176	前滚	0	0	0		
177	右滚	0	0	0		
178	左滚	0	0	0		
179	后滚	0	0	0		
180	跳跃脚点地	1	0	1		
181	空	0	0	0		
182	空	0	0	0		
183	空	0	0	0		
184	空	0	0	0		
185	空	0	0	0		
186	空	0	0	0		
187	空	0	0	0		
188	空	0	0	0		
189	空	0	0	0		
190	空	0	0	0		
191	空	0	0	0		
192	空	0	0	0		
193	空	0	0	0		
194	空	0	0	0		
195	空	0	0	0		
196	空	0	0	0		
197	空	0	0	0		
198	空	0	0	0		
199	空	0	0	0		
200	镖轻	1	0	0		
201	镖地八方绝	1	0	0		
202	镖空	1	1	0		
203	镖怒起手	0	1	1		
204	镖怒出招	1	1	1		
205	镖怒收招	1	0	0		
206	枪轻射击	1	0	0		
207	枪重射击	1	0	0		
208	枪小绝破防	1	0	0		
209	镖重	1	0	0		
210	镖杀	1	0	0		
211	镖空落地	1	0	0		
212	枪进入准备	1	0	0		
214	镖空踢	1	1	0		
215	枪小绝乱枪	1	0	0		
216	枪怒瞄准	1	0	0		
217	枪怒射击	1	0	0		
218	轮轻射	1	0	0		
219	轮轻收					
220	轮重射	0	0	0		
221	轮重收					
222	轮杀射	0	0	0		
223	轮杀收					
224	轮怒射	0	0	0		
225	轮怒收					
226	刺空旋转	1	1	1		
227	刺空展臂	1	1	0		1
228	刺空上A踢	0	1	0		
229	刺空上A2踢腿	0	1	0		1
235	双刺空中下A	0	0	1	10969:1-10972:0	1
236	双刺空中下A2	0	0	0		1
245	匕首空A1	0	1	0		
246	匕首空A2	0	1	0		
247	匕首空A3	0	1	0		
248	匕首地A1	0	0	0		
249	匕首地A2	0	0	0		
250	匕首前A	0	0	0		
251	匕首前A2	0	0	0		
252	匕首空下A	0	0	1		1
253	匕首上上A	0	1	0		
256	匕首空上下A	0	0	1		
257	匕首后前A前	0	0	0		
258	匕首后前A后	0	0	0		
259	匕首大招	0	0	1		
260	剑空A1	1	1	0		
261	剑空A2	1	1	0		
265	剑空下刺	1	0	1		1
279	长枪A					
282	枪下扎	1	0	1		0
283	枪下扎转地2	0	0	1		
285	长枪前A挑起					
289	长枪前前A挑起					
298	刀空下劈	0	0	1		0
292	枪左右上A	0	0	1		
310	刀绝招起始	1	0	0		
311	刀定身	1	0	0		
312	刀大招开始	0	0	1		
313	刀大招二	0	0	1		
314	刀大决砍下(锁帧等落地)	0	1	1		
318	锤子空中下锤	0	0	1		0
325	锤绝升天	0	1	1		
326	锤绝扔出锤子	1	1	1		
327	锤绝翻滚落地	1	0	1		
329	脚踢回锤子	1	0	0		
331	刀落地	1	0	1		
332	匕首空A落地	1	0	1		
333	匕首空A落地	1	0	1		
334	匕首空A落地	1	0	1		
338	重武器空踢	1	1	1		
339	重武器空踢下落	1	0	1		
340	剑空中出招落地	1	0	1		
341	剑空中出招落地	1	0	1		
342	剑空中出招落地	1	0	1		
343	匕首后A	0	0	0		
370	匕首左A1	0	0	0		
371	匕首左A2	0	0	0		
405	拳套空A	0	1	1		
406	拳套空A2	0	1	1		
410	拳套空下A	0	1	1		0
414	拳套地面下A	0	0	1		
415	拳套后后A	0	0	1		
425	拳套大绝升天	0	1	1		
426	拳套大绝落地	0	1	1		
427	拳套空A落地	1	0	1		
428	拳套空A2落地	1	0	1		
429	拳套空下A落地	1	0	1		
432	乾坤A	0	0	0		
433	乾坤AA	0	0	0		
434	乾坤AAA	0	0	1		
446	乾坤空中下A	0	1	1		1
451	乾坤大招起手	0	0	0	22	
452	乾坤怒首斬	0	0	0	37	
453	乾坤怒雙斬	0	0	0	37	
454	乾坤怒再雙	0	0	0	37	
455	乾坤怒終斬	0	0	0	37	
456	乾坤怒回鞘	0	0	0	37	
457	乾坤空砸緩	0	0	0		
458	乾坤空A	1	1	1		
459	乾坤空落地	1	0	1		
465	忍刀下踩	0	1	1		1
466	忍刀上下A	0	0	0		
467	忍刀上下A2	1	0	0		
471	忍刀下上A	0	1	1		
478	忍刀空A	1	1	1		1
479	忍刀空A2	1	1	1		
483	忍刀空A落地	1	0	1		
484	忍刀下上A落地	1	0	1		
488	拳套大招落地	1	0	1		
489	拳套-嗜血BUFF	1	0	0	34	
526	忍刀前闪	0	0	0		
527	忍刀右闪	0	0	0		
528	忍刀左闪	0	0	0		
529	忍刀后闪	0	0	0		
530	忍空前闪	0	1	1		
531	忍空右闪	0	1	1		
532	忍空左闪	0	1	1		
533	忍空后闪	0	1	1		
535	忍遁地	1	0	0	36	
541	忍踩	1	0	0		
542	忍再踩	1	0	0		
551	镖空八方绝	1	1	0		
554	飞轮空吸星	0	1	0		
556	双刺轮转小绝	0	0	1		
557	双刺-踏风BUFF	1	0	0	41	
558	匕首下下A	0	0	1		
559	匕首上下下A	0	0	1		
562	枪小绝起身	0	1	1		
563	枪小绝砸	0	1	0		
565	刀雷电斩	0	0	0		
