序号	名字	气血上限	攻击	防御	怒气	持续时间	伤害间隔	BUFF类型	增益类型	特殊效果	得到buff时播放特效	说明
Idx	Name	Hp	Attack	Defence	Angry	Seconds	Freq	BuffType	Class	SpecialEffect	Sfx	
10	毒伤【1级】	10				10	2	0	0			
11	毒伤【2级】	35				20	4	0	0			
12	毒伤【3级】	85				30	5	0	0			
13	毒伤【4级】	125				40	5	1	0			
14	毒伤【5级】	185				50	5	1	0			
15	毒伤【6级】	275				60	5	1	0			
20	火伤【1级】	25				10	2	2	0			
21	火伤【2级】	55				20	4	2	0			
22	火伤【3级】	85				30	5	2	0			
23	火伤【4级】	125				40	5	2	0			
24	火伤【5级】	185				50	5	2	0			
25	火伤【6级】	300				60	5	2	0			
30	强力【1级】	50						3	1			
31	强力【2级】	100						3	1			
32	强力【3级】	200						3	1			
33	强力【4级】	400						3	1			
34	强力【5级】	800						3	1			
35	强力【6级】	1000						3	1			
40	铁布衫【1级】			10				4	1			
41	铁布衫【2级】			20				4	1			
42	铁布衫【3级】			40				4	1			
43	铁布衫【4级】			80				4	1			
44	铁布衫【5级】			160				4	1			
45	铁布衫【6级】			400				4	1			
50	斗志【1级】		25					5	1			
51	斗志【2级】		60					5	1			
52	斗志【3级】		100					5	1			
53	斗志【4级】		180					5	1			
54	斗志【5级】		280					5	1			
55	斗志【6级】		400					5	1			
60	愤怒【1级】				-50	1	1	6	0			立即减少50怒气
61	愤怒【2级】				50	1	1	6	0			立即增加50怒气
62	愤怒【3级】				-100	1	1	6	0			立即减少100怒气
63	愤怒【4级】				100	1	1	6	0			立即增加100怒气
64	愤怒【5级】				100	5	0.5	6	0			5秒内增加1000怒气
65	愤怒【6级】				900	60	0	6	1			怒气上限提升900持续60秒
