ID	提示	提示
Idx	TipCh	TipEn
1	有人的地方就有江湖，哪里都是如此。	有人的地方就有江湖，哪里都是如此。
2	杀手，一旦开始了，停下来就只有死。	杀手，一旦开始了，停下来就只有死。
3	命运，从来不问任何人的选择。	命运，从来不问任何人的选择。
4	江湖，胜利就是正义。	江湖，胜利就是正义。
5	每个人都是孤独的，无论谁。	每个人都是孤独的，无论谁。
6	什么时候才能结束，这无休无止的杀伐。	什么时候才能结束，这无休无止的杀伐。
7	快活林里并不快活，最少对自己来说是如此。	快活林里并不快活，最少对自己来说是如此。
8	等偿还了恩情，就解脱了。	等偿还了恩情，就解脱了。
9	有时候真不知道该做个好人，还是做个坏人。	有时候真不知道该做个好人，还是做个坏人。
10	这世上，不愿欺负别人，就会被别人欺负。	这世上，不愿欺负别人，就会被别人欺负。
11	能够过简单平静的生活，需要付出什么?	能够过简单平静的生活，需要付出什么?
12	爱恨情仇糅杂到一起，就很难离开了。	爱恨情仇糅杂到一起，就很难离开了。
13	有时候也会迷茫，到底是爱，还是利用。	有时候也会迷茫，到底是爱，还是利用。
14	能够与吸引自己的灵魂在一起，每一天都会开心的笑。	能够与吸引自己的灵魂在一起，每一天都会开心的笑。
15	江湖里，要公平唯有实力。	江湖里，要公平唯有实力。
16	背叛，算不上什么，伤的最深的是得不到最亲近的人的信任。	背叛，算不上什么，伤的最深的是得不到最亲近的人的信任。
17	世间多少真真假假，看得太真，就什么都不想要。	世间多少真真假假，看得太真，就什么都不想要。
18	无论这世间有多少沧桑，心中的美好犹如流星划过的回忆，永远也不会磨灭。	无论这世间有多少沧桑，心中的美好犹如流星划过的回忆，永远也不会磨灭。
19	如果对这个世界了无牵挂，也许会成为天下第一的坏人。	如果对这个世界了无牵挂，也许会成为天下第一的坏人。
20	什么时候这一切才会结束呢?	什么时候这一切才会结束呢?
