副本ID	对话ID	模型ID	模型位置	名称	对话内容	对话节点	怪物id	跳过剧情	对话时长	音频文件	动作ID	模型缩放	
fuBenId	talkId	modelId	modelPos	name	content	talkNode	monsterId	skip	talkTime	vocFile	actionId	zoomRatio	
1000	10	4001	2	妮得	见习召唤师们，我是人类联合军队，也就是联军的指挥官[66f346]妮得[-]。	1		0			S1000	1	
1000	11	4001	2	妮得	自从奥斯维尔召唤第一位英雄以来，你们英雄学院一直为联军提供军事人才。	1		0			S1000	1	
1000	12	4001	2	妮得	正因为有了这些英勇的战士，经过190年的艰苦奋斗，联军终于收复了大部分地球领土。	1		0			S1000	1	
1000	13	4001	2	妮得	现在你们只要通过毕业试练，就能成为召唤师，拯救这个濒死的星球！	1		0			S1000	1	
1000	14	4000	1	[gamername]	长官，我的召唤之手早已饥不可耐！	1		0			S1000	1	
1000	10	4001	2	妮得	真令人印象深刻，你竟然能召唤到[f3466e]放逐之刃[-]！	3		0			S1000	1	
1000	11	4001	2	妮得	她曾经效忠于奥斯维尔，奥斯维尔之后，再也没有人能将她从回忆中唤醒！	3		0			S1000	1	
1000	12	4001	2	妮得	这些[f3466e]禁军[-]俘虏就给放逐之刃练练手吧！	3		0			S1000	1	
1000	13	4001	2	妮得	[f3466e]禁军[-]是那些外星入侵的魔物军团。小心，虽然他们的力量已经被削弱，但是对付新手绰绰有余！	3		0			S1000	1	
1000	10	4000	1	[gamername]	[66f346]放逐之刃[-]果然名不虚传！	5	5000	0			S1000	1	
1000	11	4001	2	妮得	接下来小心[f3466e]机械魔蝎[-]，它可不懂什么叫温柔！	5	5000	0			S1000	1	
1000	12	4000	1	[gamername]	正好让我调教调教！	5	5000	0			S1000	1	
1000	10	4001	2	妮得	干得不错，我正式任命你为联军召唤师。别给地球联军丢脸。	4		0			S1000	1	
1000	11	4000	1	[gamername]	是，长官！	4		0			S1000	1	
1011	10	4001	2	妮得	菜鸟，禁军在[46f1f3]紫晶荒原[-]潜行。那里没什么资源，禁军一直没放在眼里。	1		1			S1000	1	
1011	11	4001	2	妮得	这次他们秘密行动，一定有什么不可告人的阴谋。	1		1			S1000	1	
