序号	等级	所需总经验
Idx	Level	Exp
1	1	0
2	2	10
3	3	30
4	4	70
5	5	140
6	6	260
7	7	460
8	8	780
9	9	1270
10	10	1990
11	11	3020
12	12	4450
13	13	6410
14	14	9060
15	15	12600
16	16	17280
17	17	23390
18	18	31250
19	19	41200
20	20	53580
21	21	68710
22	22	86890
23	23	108400
24	24	133500
25	25	162430
26	26	195410
27	27	232640
28	28	274290
29	29	320500
30	30	371380
31	31	427000
32	32	487400
33	33	552600
34	34	622600
35	35	697300
36	36	776600
37	37	860400
38	38	948600
39	39	1041000
40	40	1137700
41	41	1238500
42	42	1343500
43	43	1452600
44	44	1565700
45	45	1682700
46	46	1803500
47	47	1928000
48	48	2056000
49	49	2188000
50	50	2324000
51	51	2464000
52	52	2604000
53	53	2744000
54	54	2884000
55	55	3024000
56	56	3164000
57	57	3304000
58	58	3444000
59	59	3584000
60	60	3734000
61	61	3884000
62	62	4034000
63	63	4184000
64	64	4334000
65	65	4484000
66	66	4634000
67	67	4784000
68	68	4934000
69	69	5084000
70	70	5244000
71	71	5404000
72	72	5564000
73	73	5724000
74	74	5884000
75	75	6044000
76	76	6204000
77	77	6364000
78	78	6524000
79	79	6684000
80	80	6844000
81	81	7004000
82	82	7164000
83	83	7324000
84	84	7484000
85	85	7644000
86	86	7804000
87	87	7964000
88	88	8124000
89	89	8284000
90	90	8444000
91	91	8604000
92	92	8764000
93	93	8924000
94	94	9084000
95	95	9244000
96	96	9404000
97	97	9564000
98	98	9724000
99	99	9999999
