ID	中文名称	物品类型	武器种类	位置	模型ID	图标	物品描述	品质	增加气血	内力	伤害	防御	攻速	暴击伤害加成	暴击概率提升	交易金钱	堆叠数量	交易元宝	部队气血	部队攻击	部队防御	武器尺寸	脚本	技能	需要等级
Idx	Name	MainType	SubType	EquipIdx	UnitId	Icon	Desc	Quality	HP	MP	Damage	Def	Speed	CritDamage	Crit	Coin	Stack	CNY	ArmyHP	ArmyDamage	ArmyDef	Size	Script	Skill	LevReq
1000	银两	0		0	0		用于交换物品的物品	0	0	0	0	0	0	0	0	0	0		0	0	0			0	0
1001	经验	0		0	0		角色战斗中吸取的历练	0	0	0	0	0	0	0	0	0	0		0	0	0			0	0
1	七星	1	3	1	1		甲贺忍者惯用武器，轻巧，防不胜防				75	15	100			500									
10	青牙	1	3	1	2		甲贺忍者惯用武器，轻巧，防不胜防				90	0	90			500									
19	寒冰	1	3	1	3		甲贺忍者惯用武器，轻巧，防不胜防				60	30	90			500									
28	飞蝠	1	3	1	4		甲贺忍者惯用武器，轻巧，防不胜防				66	7	120			500									
37	雪球	1	3	1	5		甲贺忍者惯用武器，轻巧，防不胜防				112	50	110			500									
46	鈴鐺	1	3	1	6		甲贺忍者惯用武器，轻巧，防不胜防				112	50	110			500									
2	旋风	1	6	1	61		东厂的杀人武器，可远程取人首，非常可怕				70	15	100			500									
11	血滴	1	6	1	62		东厂的杀人武器，可远程取人首，非常可怕				83	0	90			500									
20	日光	1	6	1	63		东厂的杀人武器，可远程取人首，非常可怕				56	30	90			500									
29	圆月	1	6	1	64		东厂的杀人武器，可远程取人首，非常可怕				61	7	120			500									
38	飞碟	1	6	1	65		东厂的杀人武器，可远程取人首，非常可怕				105	50	101			500									
3	怒火	1	2	1	121		据说一枪可以打破一块城墙，适合远程阻击				85	15	100			500									
12	蛟龙	1	2	1	122		据说一枪可以打破一块城墙，适合远程阻击				96	0	90			500									
21	夺命	1	2	1	123		据说一枪可以打破一块城墙，适合远程阻击				63	30	90			500									
30	杀意	1	2	1	124		据说一枪可以打破一块城墙，适合远程阻击				70	7	120			500									
39	拉炮	1	2	1	125		据说一枪可以打破一块城墙，适合远程阻击				120	50	110			500									
4	峨嵋	1	8	1	181		分水刺，多为女子使用，轻巧灵便，威力尚可				85	15	100			500									
